venta_id,vehiculo_id,fecha_venta,region_vendedor,precio_venta_real,kilometraje_venta,servicios_realizados,coste_mantenimiento_anual,incidencias_mecanicas,valor_residual_estimado
VT387,VH193,2023-11-02,Valencia,30838,45228,5,732,0,20961
VT388,VH194,2023-04-12,Valencia,29954,49528,6,842,0,20276
VT389,VH194,2023-12-24,País Vasco,30083,20341,5,842,0,16003
VT390,VH195,2023-04-29,Cataluña,33832,40431,2,870,0,25309
VT391,VH195,2023-12-25,Andalucía,38799,21283,3,870,0,27390
VT392,VH196,2023-06-29,País Vasco,30058,11193,2,738,0,19886
VT393,VH197,2023-09-18,Madrid,39294,46810,6,894,0,32526
VT394,VH198,2023-08-25,País Vasco,37756,15635,4,930,1,16626
VT395,VH198,2023-07-16,Madrid,35808,45485,4,930,0,16584
VT396,VH198,2023-10-18,Andalucía,37397,15476,1,930,0,23298
VT397,VH199,2023-10-21,País Vasco,31772,39064,3,778,0,30585
VT398,VH199,2023-08-16,Cataluña,33183,26594,0,778,0,28445
VT399,VH199,2023-11-02,País Vasco,33324,42270,5,778,1,27966
VT400,VH200,2023-11-22,Madrid,29341,43311,1,836,0,10919
VT401,VH200,2023-11-12,Valencia,27525,13478,5,836,0,10864
VT402,VH200,2023-12-14,Andalucía,30287,28490,5,836,0,10573
VT403,VH201,2023-10-26,Madrid,47837,33451,3,1084,0,28774
VT404,VH202,2023-07-09,Valencia,50822,55,5,974,0,48700
VT405,VH203,2023-05-25,Madrid,30769,46020,4,786,0,22961
VT406,VH204,2023-07-27,País Vasco,40855,13842,5,1122,1,17296
VT407,VH204,2023-07-16,Andalucía,44384,10110,2,1122,0,12831
VT408,VH205,2023-01-06,Madrid,44673,9436,5,1062,0,21992
VT409,VH206,2023-02-13,Cataluña,34637,27253,6,958,0,9651
VT410,VH207,2023-08-06,Valencia,37122,33385,3,938,0,27152
VT411,VH207,2023-07-01,Cataluña,37172,39621,0,938,0,24541
VT412,VH207,2023-05-02,Valencia,37871,35793,4,938,0,23706
VT413,VH208,2023-09-05,Andalucía,40316,31557,5,1124,2,19257
VT414,VH208,2023-02-10,Valencia,47493,5796,1,1124,0,16738
VT415,VH208,2023-12-09,Madrid,45591,35336,6,1124,0,17876
VT416,VH209,2023-10-01,Madrid,34825,33597,3,838,0,24621
VT417,VH209,2023-06-30,Andalucía,33499,2315,5,838,0,22166
VT418,VH210,2023-10-16,Andalucía,26731,31009,4,670,0,24315
VT419,VH210,2023-05-30,Valencia,26519,31769,0,670,0,23711
VT420,VH210,2023-05-23,Andalucía,27172,18413,2,670,0,26306
VT421,VH211,2023-11-06,Cataluña,38288,48428,1,992,0,13179
VT422,VH212,2023-05-14,Cataluña,39300,34562,6,880,0,31261
VT423,VH213,2023-03-20,País Vasco,28816,27062,6,826,0,8527
VT424,VH213,2023-11-23,Cataluña,25695,48127,6,826,0,8627
VT425,VH213,2023-03-01,Madrid,25445,26132,3,826,0,8072
VT426,VH214,2023-04-30,País Vasco,33844,25563,3,786,3,24713
VT427,VH214,2023-08-18,País Vasco,33809,34750,5,786,0,24217
VT428,VH214,2023-09-30,Andalucía,35714,28297,4,786,0,20029
VT429,VH215,2023-05-19,Andalucía,28899,16734,5,622,0,22991
VT430,VH215,2023-12-12,Cataluña,28510,38582,6,622,2,22372
VT431,VH216,2023-06-10,Valencia,37067,555,6,1170,3,15307
VT432,VH217,2023-12-17,País Vasco,47856,47530,2,1240,0,26843
VT433,VH218,2023-01-30,Valencia,28851,14209,4,838,0,8444
VT434,VH219,2023-02-14,Valencia,33287,43017,6,760,0,38000
VT435,VH220,2023-02-26,Cataluña,24138,30602,5,736,0,10235
VT436,VH221,2023-08-07,Andalucía,28486,4849,2,732,0,20821
VT437,VH221,2023-06-20,Madrid,28492,17345,1,732,0,20266
VT438,VH222,2023-11-09,País Vasco,49421,32247,0,1216,3,38270
VT439,VH223,2023-02-24,País Vasco,38532,6769,0,976,2,13801
VT440,VH223,2023-01-10,País Vasco,34135,41965,0,976,0,14624
VT441,VH223,2023-05-17,Cataluña,38412,25646,4,976,3,16067
VT442,VH224,2023-02-05,Valencia,32226,25193,5,820,0,23143
VT443,VH224,2023-10-18,Valencia,37332,23522,2,820,0,23616
VT444,VH225,2023-11-28,Madrid,32954,22286,0,964,0,9914
VT445,VH225,2023-05-29,Cataluña,31606,2577,3,964,0,13245
VT446,VH225,2023-07-19,Madrid,34848,23544,3,964,3,10076
VT447,VH226,2023-01-19,Cataluña,25139,38859,1,838,0,12569
VT448,VH227,2023-11-26,Andalucía,28498,29445,0,700,0,19987
VT449,VH227,2023-01-22,País Vasco,26209,42850,5,700,0,17146
VT450,VH227,2023-10-02,Cataluña,29946,15268,0,700,1,19253
VT451,VH228,2023-08-30,Valencia,24916,45960,5,880,1,6876
VT452,VH229,2023-02-19,País Vasco,57071,38734,0,1324,0,34713
VT453,VH229,2023-09-12,Valencia,59277,14455,0,1324,0,30894
VT454,VH230,2023-12-14,País Vasco,33026,44832,4,922,0,16150
VT455,VH230,2023-04-20,Madrid,34967,21987,0,922,1,12972
VT456,VH230,2023-03-28,Andalucía,34681,28748,1,922,0,18486
VT457,VH231,2023-11-20,Valencia,25536,10338,0,702,0,16472
VT458,VH232,2023-04-02,Madrid,38266,38910,2,1022,0,10398
VT459,VH233,2023-12-21,Cataluña,27093,41931,2,758,0,16084
VT460,VH233,2023-03-31,Valencia,30045,39077,1,758,0,14920
VT461,VH234,2023-11-18,Andalucía,28415,299,4,618,0,30900
VT462,VH235,2023-11-13,Andalucía,40084,35371,4,884,1,26510
VT463,VH236,2023-02-27,Cataluña,26157,31091,3,630,0,18904
VT464,VH237,2023-05-26,Cataluña,40288,21908,4,860,0,43000
VT465,VH237,2023-01-23,Madrid,42918,35216,1,860,0,43000
VT466,VH238,2023-02-06,Cataluña,39473,38843,4,994,0,18852
VT467,VH239,2023-06-16,Cataluña,25346,21373,1,704,3,8541
VT468,VH239,2023-07-12,Cataluña,21791,38344,3,704,3,12280
VT469,VH239,2023-11-09,País Vasco,22317,24476,1,704,0,11993
VT470,VH240,2023-05-19,Cataluña,32010,2103,5,998,0,10761
VT471,VH240,2023-02-26,País Vasco,32866,11219,6,998,0,6798
VT472,VH241,2023-03-22,Valencia,33099,37887,4,642,0,32100
VT473,VH241,2023-09-25,País Vasco,32820,14184,4,642,0,32100
VT474,VH241,2023-01-08,País Vasco,32011,16164,1,642,0,32100
VT475,VH242,2023-03-18,Valencia,44481,27379,0,1114,3,12207
VT476,VH242,2023-09-16,Madrid,40398,25842,3,1114,0,12499
VT477,VH242,2023-02-20,País Vasco,40999,5445,4,1114,0,12527
VT478,VH243,2023-04-22,Cataluña,34471,15667,5,1048,0,13948
VT479,VH243,2023-12-09,Andalucía,33000,30099,6,1048,0,9205
VT480,VH244,2023-08-26,Cataluña,33410,26565,1,752,0,21545
VT481,VH244,2023-08-26,Madrid,33320,4633,3,752,0,21745
VT482,VH245,2023-06-01,País Vasco,43425,45747,4,1018,0,19856
VT483,VH246,2023-02-11,Valencia,47819,48218,0,1032,0,26845
VT484,VH246,2023-07-06,Madrid,40644,23959,3,1032,0,30835
VT485,VH246,2023-03-31,Valencia,46179,36749,5,1032,0,32581
VT486,VH247,2023-05-03,Valencia,23650,31358,5,542,0,27100
VT487,VH247,2023-12-26,Cataluña,27117,49865,1,542,0,27100
VT488,VH248,2023-12-15,País Vasco,32958,4152,2,1028,0,9641
VT489,VH248,2023-09-27,Madrid,34363,34858,5,1028,0,7017
VT490,VH248,2023-08-20,Valencia,33620,44125,5,1028,0,6791
VT491,VH249,2023-04-07,País Vasco,21773,25603,1,602,0,17671
VT492,VH250,2023-02-27,Cataluña,34553,13386,4,928,0,18799
VT493,VH250,2023-08-02,Valencia,37723,31057,2,928,0,13215
VT494,VH251,2023-05-30,Cataluña,25188,15225,6,784,0,11118
VT495,VH252,2023-10-24,Andalucía,28650,21384,3,684,0,17780
VT496,VH252,2023-10-08,País Vasco,27495,37175,1,684,0,19603
VT497,VH253,2023-04-27,País Vasco,29118,18883,6,780,0,18350
VT498,VH253,2023-05-26,País Vasco,32799,40542,1,780,0,17462
VT499,VH254,2023-12-29,Cataluña,38643,7662,0,1076,0,17281
VT500,VH255,2023-05-14,Andalucía,48602,36863,5,1196,2,31006
VT501,VH255,2023-03-17,Andalucía,51495,10655,4,1196,0,31483
VT502,VH256,2023-09-13,Cataluña,41478,20985,1,948,2,19321
VT503,VH256,2023-06-01,País Vasco,41065,49424,4,948,0,18219
VT504,VH257,2023-08-15,Andalucía,39513,47948,3,800,0,40000
VT505,VH257,2023-10-10,Madrid,36465,26321,4,800,0,40000
VT506,VH257,2023-02-17,Andalucía,34440,42029,1,800,0,40000
VT507,VH258,2023-04-11,Madrid,23575,29193,5,644,0,19250
VT508,VH258,2023-09-20,País Vasco,24178,20824,4,644,0,15532
VT509,VH259,2023-07-04,País Vasco,25332,28025,2,576,0,28800
VT510,VH259,2023-06-26,Andalucía,26255,29201,6,576,0,28800
VT511,VH259,2023-08-16,País Vasco,29109,18915,1,576,0,28800
VT512,VH260,2023-08-01,Cataluña,38650,39186,0,1010,2,12651
VT513,VH260,2023-09-26,Andalucía,32802,38710,6,1010,0,16795
VT514,VH261,2023-05-20,País Vasco,25576,30285,5,778,0,9566
VT515,VH261,2023-04-13,Cataluña,29376,18970,4,778,0,10039
VT516,VH261,2023-06-04,Valencia,26322,36653,5,778,0,14896
VT517,VH262,2023-03-20,Andalucía,33307,41979,6,932,0,18013
VT518,VH263,2023-05-28,País Vasco,35967,45078,5,862,0,31405
VT519,VH263,2023-09-10,Madrid,39373,23708,4,862,0,32740
VT520,VH263,2023-05-13,País Vasco,42421,7837,2,862,0,32174
VT521,VH264,2023-03-25,Valencia,29901,20950,3,744,0,29025
VT522,VH264,2023-03-25,Madrid,31387,27493,5,744,0,28260
VT523,VH265,2023-05-30,Valencia,28845,5034,4,640,1,22819
VT524,VH265,2023-11-03,Cataluña,28283,20723,6,640,0,22715
VT525,VH266,2023-12-17,Andalucía,34245,38013,2,1088,0,14725
VT526,VH266,2023-09-23,Andalucía,36429,31778,3,1088,0,7528
VT527,VH267,2023-04-22,Cataluña,30707,12348,6,646,0,32300
VT528,VH268,2023-09-30,Valencia,35854,7468,3,974,0,15353
VT529,VH268,2023-03-09,Madrid,34242,20419,5,974,0,9691
VT530,VH268,2023-11-02,Valencia,36298,22416,1,974,0,15792
VT531,VH269,2023-04-24,Cataluña,53315,9329,5,1094,1,43275
VT532,VH270,2023-08-06,Madrid,34535,31736,6,1098,0,13079
VT533,VH271,2023-12-04,Valencia,35840,30741,0,790,0,31290
VT534,VH272,2023-12-08,Madrid,40136,8112,4,902,1,27726
VT535,VH272,2023-06-29,Madrid,34813,48902,2,902,0,26650
VT536,VH273,2023-09-14,Valencia,33779,37370,0,752,0,37600
VT537,VH274,2023-04-09,Andalucía,35020,49415,4,992,0,13044
VT538,VH274,2023-09-16,País Vasco,36562,38625,1,992,0,12814
VT539,VH274,2023-04-03,Andalucía,41432,27793,1,992,0,16983
VT540,VH275,2023-03-05,País Vasco,40202,8907,3,1172,0,13270
VT541,VH275,2023-10-13,Madrid,39943,32355,0,1172,0,15517
VT542,VH276,2023-06-09,País Vasco,29720,26691,2,764,0,21632
VT543,VH276,2023-02-05,País Vasco,34456,24080,1,764,3,20344
VT544,VH276,2023-07-22,País Vasco,31690,44336,0,764,3,21779
VT545,VH277,2023-02-22,Cataluña,38056,13047,2,1132,3,18195
VT546,VH277,2023-08-06,País Vasco,39942,46759,6,1132,0,16621
VT547,VH277,2023-11-26,País Vasco,40626,43691,4,1132,0,10552
VT548,VH278,2023-05-23,Cataluña,38940,7080,0,1026,3,15002
VT549,VH278,2023-03-10,Madrid,33753,3463,6,1026,0,9380
VT550,VH278,2023-07-15,Valencia,38251,10009,2,1026,0,16262
VT551,VH279,2023-12-05,Valencia,39538,30541,1,838,3,31558
VT552,VH280,2023-10-05,Andalucía,36428,35424,4,820,0,20300
VT553,VH280,2023-03-02,País Vasco,33841,24663,3,820,0,25809
VT554,VH281,2023-12-04,Andalucía,38818,10757,3,906,0,20747
VT555,VH281,2023-07-19,País Vasco,37906,37280,5,906,0,18966
VT556,VH281,2023-10-04,Valencia,35682,36847,6,906,0,20153
VT557,VH282,2023-10-30,País Vasco,32706,23118,6,722,0,27483
VT558,VH282,2023-01-15,Valencia,28863,24013,2,722,0,26598
VT559,VH283,2023-06-24,País Vasco,28432,22619,2,804,0,19684
VT560,VH283,2023-05-06,Cataluña,29329,20453,4,804,0,14531
VT561,VH283,2023-02-28,Andalucía,28905,35285,2,804,3,16319
VT562,VH284,2023-05-17,Madrid,33830,38534,0,734,0,27778
VT563,VH284,2023-07-19,Andalucía,32986,32005,0,734,0,28366
VT564,VH285,2023-09-15,Andalucía,22083,19629,2,650,0,14286
VT565,VH285,2023-11-22,Madrid,25452,35116,1,650,0,13798
VT566,VH286,2023-07-25,Cataluña,34317,6026,5,1004,0,12412
VT567,VH286,2023-06-22,Andalucía,30394,34803,3,1004,0,10336
VT568,VH286,2023-02-09,Andalucía,33473,19654,3,1004,0,10597
VT569,VH287,2023-07-25,Andalucía,29835,29702,5,812,0,14658
VT570,VH287,2023-01-10,Valencia,31290,37804,3,812,3,14053
VT571,VH288,2023-09-30,Valencia,39904,28424,4,1082,0,14134
VT572,VH288,2023-04-13,Andalucía,36852,15753,1,1082,0,8371
VT573,VH288,2023-08-11,País Vasco,35727,4222,5,1082,3,12177
VT574,VH289,2023-11-27,Cataluña,23794,39402,1,628,0,18568
VT575,VH289,2023-04-09,Madrid,23737,20351,3,628,0,14884
VT576,VH290,2023-11-28,Madrid,25554,17872,1,574,2,28700
VT577,VH290,2023-04-01,Madrid,29927,31840,6,574,0,28700
VT578,VH291,2023-02-02,País Vasco,38498,44018,5,748,0,37400
VT579,VH291,2023-03-13,Cataluña,32627,48134,4,748,0,37400
VT580,VH292,2023-09-26,Andalucía,34934,5914,1,886,0,16977
VT581,VH292,2023-06-10,Andalucía,37406,48315,3,886,0,17170
VT582,VH292,2023-08-05,Cataluña,32342,11478,1,886,0,19272
VT583,VH293,2023-10-29,Madrid,38492,24556,5,962,0,22251
VT584,VH293,2023-08-05,País Vasco,40054,18201,6,962,0,21874
VT585,VH294,2023-07-08,Andalucía,29300,39702,0,886,0,12944
VT586,VH294,2023-01-28,Cataluña,30890,25211,2,886,0,12692
VT587,VH294,2023-12-17,Madrid,32824,15491,6,886,0,17839
VT588,VH295,2023-05-11,Andalucía,26302,49588,1,656,1,22980
VT589,VH295,2023-11-20,Andalucía,31085,42233,3,656,0,24925
VT590,VH296,2023-09-09,País Vasco,32814,21805,5,808,0,14337
VT591,VH297,2023-03-24,Andalucía,31297,23059,3,958,0,6786
VT592,VH298,2023-06-17,País Vasco,38375,49936,0,1026,0,15434
VT593,VH298,2023-08-16,Cataluña,33004,13112,5,1026,0,12123
VT594,VH298,2023-02-26,Cataluña,34917,46764,6,1026,0,10756
VT595,VH299,2023-12-18,País Vasco,37921,20932,3,802,0,29196
VT596,VH299,2023-05-14,Cataluña,37130,21468,6,802,0,30401
VT597,VH299,2023-04-04,País Vasco,38550,37381,1,802,0,28489
VT598,VH300,2023-11-10,Cataluña,39811,30305,1,872,1,27563
VT599,VH300,2023-11-13,País Vasco,37445,9781,0,872,0,26783
VT600,VH300,2023-10-18,Madrid,32919,34461,3,872,0,22130
